deal_count,location,price,shop,title
9人累计付款,浙江,919,中国移动手机官方旗舰店,【限时优惠】小米Redmi 红米Note 12 5G手机官旗舰店新品OLED屏幕智能红外线note12系列全新小金刚
5人累计付款,广东,924,博星通讯,MIUI/小米 Redmi K30 Pro 5G变焦版 骁龙865官方旗舰红米k40手机
16人累计付款,上海,825,bihee旗舰店,【现货速发】小米/红米Redmi Note 11 5G 5000mAh大电量智能红米手机官方小米官方旗舰店千元5G
100+人累计付款,浙江,547,莫拉克数码专营店,小米红米10A双卡手机全网通4G老年机大电池智能手机官方官网正品 Redmi 10A红米9A学生手机
44人累计付款,广东,502,亿时代数码店,红米10a MIUI/小米 REDMI 10A 官方正品新手机大电量全网通红米9a
86人累计付款,广东,789,东鑫瑞数码专营店,分期免息/当天发 小米红米Note13 12+256G 5G手机大电池智能游戏拍照官方旗舰正品学生小米13pro/12tpro/12r
1人累计付款,广东,2099,中国移动手机官方旗舰店,Redmi红米K60新品5G手机官网正品小米官方旗舰店新款redmi k60小米手机pro
12人累计付款,广东,388,翔泰世纪通讯,MIUI/小米 Redmi 9A红米9a手机8a老人学生大电池10a智能note8手机
3人累计付款,山东,935,三际数码官方旗舰店,现货送碎屏宝小米 红米 Redmi 12 5G手机红米千元手机12官方旗舰店官网正品智能学生机长续航老年机备用机
11人累计付款,广东,999,苏宁易购官方旗舰店,【赠送充电宝】Redmi 12 5G手机红米千元小米官方旗舰店官网正品note12智能大屏redmi12  2067
35人累计付款,广东,465,兴发数码科技,MIUI/小米 Redmi Note9 5G红米Note9Pro游戏全网通系列全面屏手机
11人累计付款,广东,698,洪淼科技,MIUI/小米 Redmi Note 11 5G手机红米note11pro一亿主摄全网通手
16人累计付款,浙江,2650,可能数码,Apple/苹果 iPhone 12手机 苹果12国行双卡 全网通5G手机分期免息
16人累计付款,广东,4990,小丽手机,苹果14Pro双卡双待6.1寸全网通 5G手机Apple/苹果 iPhone 14 Pro
100+人累计付款,广东,4360,柠檬树苹果店,Apple/苹果 iPhone 14 Pro国行正品 14ProMax手机十四苹果14plus
100+人累计付款,浙江,1013,新扬数码,Apple/苹果 iPhone XS4G全网通国行正品手机全面屏备用机工作机
82人累计付款,广东,863,城烨数码手机店,Apple/苹果 iPhone8苹果8P手机原装iphone x 8x正品国行三网8plus
87人累计付款,上海,1340,畅展wicee宝贝数码,Apple/苹果 iPhone XS Max正品双卡苹果xr全网通11苹果手机xsmax
22人累计付款,山东,3000,千度数码12,Apple/苹果 iPhone 12 Pro Max苹果12promax 双卡双待全网通手机
27人累计付款,广东,1150,伟祥兴数码通讯,Apple/苹果 iPhone XR改14Pro 13pro 全网通 无锁 双卡 电池100
27人累计付款,广东,2222,小丽手机,直播选机8P SE2 SE3 MAX专拍 联系客服改价 Apple/苹果 iPhone 11
73人累计付款,广东,810,媛媛手机通讯,Apple/苹果 iPhone 8 Plus苹果8手机正品8p国行4G全网通IPhone8
29人累计付款,广东,1548,贝贝数码通讯,Apple/苹果 Apple iPhone 11 苹果11手机双卡原装正品分期免息
25人累计付款,广东,1566,顺顺通数码,Apple/苹果 iPhone 11 双待原装正品全网通4G 插卡即用苹果11手机
7人累计付款,浙江,1330,新扬优品,Apple/苹果 iPhone XR手机正品4G备用机游戏机全网通苹果全面屏
200+人累计付款,广东,9999,手机通讯数码商城,Apple/苹果 iPhone 15 Pro支持移动联通电信 双卡双待手机
4人累计付款,浙江,3049,浙江移动官方旗舰店,【至高优惠2950元 浙江移动用户专享】iPhone 14 手机 浙江移动官方旗舰店全网通正品苹果14iPhone官旗
7人累计付款,广东,2839,昊天通讯数码,【14】Apple/苹果 iPhone 14 手机苹果14手机5G国行双卡6.1英寸
25人累计付款,香港,1862,一铭数码,【未拆封】Apple/苹果 iPhone XS Max原装正品国行双卡全网通手机
17人累计付款,广东,1199,手机科技,Apple/苹果 iPhone XR改14pro国行双卡XR改13Pro手机XR改13全网通
6人累计付款,浙江,1299,新扬优品,Apple/苹果 iPhone XS Max国行双卡iPhonexs手机正品全面屏备用机
3人累计付款,广东,1888,振兴科技数码,现货Apple/苹果 iPhone 12 手机苹果12 国行双卡全网通5G 包顺丰
44人累计付款,广东,1268,欣宜数码正品店,Huawei/华为 P50 Pro
74人累计付款,广东,728,领星数码,Huawei/华为 畅享20 Pro全网通5G智能手机学生上网课老人千元备用
45人累计付款,广东,1028,易捷数码优选店,分期免息/当天发 Huawei/华为 畅享 50 Pro 5G全网通大电池手机
18人累计付款,北京,1831,睿之婕数码专营店,【P40仅1888元起】HUAWEI/华为P40 5G麒麟990处理器徕卡直屏小手机pro智能手机天猫正品店现货顺丰包邮
100+人累计付款,浙江,2099,d[s175433983],Huawei/华为 畅享 60X
700+人累计付款,浙江,2749,d[s175433983],Huawei/华为 nova 11全网通手机
79人累计付款,广东,1328,之江数码,新品MIUI/小米 Redmi Note 13 Pro手机红米note13pro小米官网手机
9人累计付款,广东,500,优质之家数码店,【现货速发】小米红米Redmi 12C 4G全网通学生老人备用机智能手机
6人累计付款,广东,1548,雄信科技,Apple/苹果 iPhone XR改13Pro14Pro苹果xr顺丰双卡全网通手机分期
5人累计付款,北京,1240,丘比特数码,Apple/苹果 iPhone XS Max
94人累计付款,广东,2060,鼎盛通讯科技,Apple/苹果 iPhone 11 国行原装正品6.1寸 全网通4G双卡苹果11
41人累计付款,广东,7499,酷音手机数码,Apple/苹果 iPhone 15 Plus 新款全网通5G手机
300+人累计付款,广东,128,昌平数码城,Apple/苹果 iPhone 6s Plus全网通正品学生5s老人备用机工作机6sp
16人累计付款,广东,1849,竹山通讯,Apple/苹果 iPhone 11 苹果11 xr 苹果手机国行双卡全网通4G手机
70人累计付款,广东,1419,银河系数码,Apple/苹果 iPhone XR国行双卡正品学生手机备用手机无锁全网通
18人累计付款,广东,3199,果粉甄选,【现货速发】Apple/苹果 iPhone 13pro苹果13promax mini国行手机
85人累计付款,广东,280,IPHONE在线,Apple/苹果 iPhone SE原装正品5s移动联通电信收藏备用全网通手机
100+人累计付款,广东,138,中诚科技数码,Apple/苹果 iPhone SE苹果iPhone5s备用机学生上网课原装工作手机
22人累计付款,广东,3478,娱泽数码,现货速发 Apple/苹果 iPhone 14手机苹果14Plus手机全网通5G手机
25人累计付款,广东,1920,星宇宙数码,现货速发 Apple/苹果 iPhone 12手机苹果iPhone12mini全网通5G
18人累计付款,广东,4344,果粉Store 专享店,Apple/苹果 iPhone 14 Pro Max国行 苹果手机 14plus联保全网通5G
18人累计付款,广东,1499,腾辉数码店,Apple/苹果 Apple iPhone 11全网通苹果11原装正品双卡插卡即用11
11人累计付款,广东,458,开源数码3C,Apple/苹果 iPhone 7 Plus国行6s正品8苹果7代7P全网通4G老人手机
18人累计付款,江苏,1522,一博数码店,Apple/苹果 iPhone 11 苹果11 正品苹果手机备用机直播手机全网通
3人累计付款,河南,3149,奇慧数码,Apple/苹果 iPhone 13 国行 5G 全网通 双卡  原装正品 支持鉴定
17人累计付款,香港,2500,虎虎by电讯,Apple/苹果 iPhone 12 苹果12双卡5G手机苹果12mini全网通Promax
39人累计付款,广东,1448,深纺数码正品店,Huawei/华为 Mate 50 Pro 官网联保华为手机 5G官方旗舰正品店
6人累计付款,江苏,1490,苏宁易购官方旗舰店,【晒单享红包】HUAWEI/华为nova10SE 一亿像素长续航轻薄鸿蒙66W快充OLED游戏拍照摄影智能手机官方旗舰店
100+人累计付款,北京,4099,蓝宇数码通讯,Huawei/华为 P50 Pro 影像旗舰鸿蒙全面屏拍照游戏华为手机
3人累计付款,广东,8399,久汇数码专营店,【24期免息+顺丰当天发】Huawei华为Mate60 Pro手机官方旗舰店官网正品鸿蒙系统手机直降新款mate60系列pro+
12人累计付款,江苏,3248,苏宁易购官方旗舰店,【至高省400】HUAWEI/华为nova 11 Pro 前置6000万人像双摄昆仑玻璃100W快充拍照游戏手机华为官方旗舰店
93人累计付款,浙江,3499,壹贰三数码,Huawei/华为 nova 11 Pro 8+256GB 手机
300+人累计付款,广东,99999,百亿优品店,【百亿补贴】Huawei/华为 P50 Pro
70人累计付款,浙江,1302,天猫优品官方直营,【天猫优品官方直营】华为/HUAWEI畅享60 6000mAh长续航4800万超清影像直面屏鸿蒙智能手机畅享60手机
5人累计付款,浙江,3949,喵速达电器官方旗舰店,【阿里官方自营】Huawei/华为 MateBook D14/D15 笔记本电脑 2023新款 轻薄便携 商务手提本 官方自营旗舰店
35人累计付款,北京,1616,Mr Bo实体二十年线上店,Huawei/华为 P50E 全网通4G手机 直屏全面屏 智能机学生机
93人累计付款,广东,1247,型品数码专营店,分期免息 现货速发 官方正品 Huawei/华为 X50系列 12+512G新款5G旗舰手机游戏拍照官方专卖官网店40pro/plus
96人累计付款,广东,1488,泰荣电器商城,华为手表 GT4智能手表科学减脂男女款运动手表适配华为mate60 Pro
8人累计付款,浙江,2639,喵速达电器官方旗舰店,【阿里官方自营】HUAWEI/华为nova 11 新品直降超可靠昆仑玻璃官方旗舰店鸿蒙官网正品新款智能手机
53人累计付款,广东,1348,庞诺优品数码,Huawei/华为 nova 8 Pro 5G手机麒麟985 双卡nova8pro 华为手机5G
100+人累计付款,广东,758,科创数码通,Huawei/华为 nova 7 SE全网通5G手机麒麟985芯片nova7Pro鸿蒙系统
47人累计付款,广东,1491,宏达鑫辉数码专营店,5G新品!华为50pro 16+512GB 曲面屏1亿像素大电池高通骁龙游戏新款华为手机官方旗舰店官网正品p 50 60 pro
17人累计付款,广东,2888,昊玉数码专营店,顺丰速发【送碎屏保】华为智选TD Tech P50 5G手机官方旗舰正品店官网新款华为P50新品p60pro华为手机mate50
56人累计付款,广东,1684,宏达鑫辉数码专营店,5G旗舰新品! Huawei/华为80Pro 12+512GB 66W快充1.6亿影像骁龙新款华为手机官方旗舰店官网正品p60pro p50
100+人累计付款,浙江,1999,浩酷3C数码,Huawei/华为 nova 10 SE全网通手机
67人累计付款,广东,1799,浩酷3C数码,Huawei/华为 畅享 60X新款大屏学生智能手机官方旗舰正品
69人累计付款,广东,789,佳惠兴通数码专营店,双十一减270元OPPO A36 oppo手机新款上市oppo a36智能机 a32 a11
100+人累计付款,广东,444,铭信数码,OPPO A32手机128内存 全网通双卡智能安卓人脸识别指纹学生手机
3人累计付款,广东,4149,一加本分专卖店,双11抢先购至高直降500OPPO一加11新款OnePlus哈苏影像骁龙8gen2
45人累计付款,广东,6999,新创科锐,【百亿补贴】OPPO Find X6 12+256G
53人累计付款,广东,2599,百补优选,【百亿】OPPO K11 12G+512GB手机 oppo手机官方旗舰店oppo手机k11
99人累计付款,浙江,1799,浩酷3C数码,OPPO K11 5g手机  oppo官方官网旗舰店 oppok11
6人累计付款,广东,2999,耀鹏数码通讯,Huawei/华为 nova 10 Pro
11人累计付款,广东,1349,幸运宝贝数码专营店,分期免息/当天发 HUAWEI/华为nova10 5G手机华为智选Hinova10系列正品官网华为官方旗舰店华为手机Mate60pro
52人累计付款,广东,872,国安数码,Huawei/华为Mate60Pro新款荣耀全网通5G电竞1TB畅玩游戏智能手机
14人累计付款,浙江,1538,中国移动手机官方旗舰店,【新品】HUAWEI/华为nova10SE 游戏拍照摄影OLED新款一亿像素长续航轻薄鸿蒙66W快充智能手机
11人累计付款,北京,2788,囯行5G数码店,Huawei/华为 Mate 40 pro 5G曲面屏官方旗舰正品麒麟9000Mate40手
100+人累计付款,浙江,6799,壹贰三数码,Huawei/华为 Mate 50 Pro 8+256GB 手机
5人累计付款,浙江,1642,能良数码官方旗舰店,24期免息【赠180天碎屏宝】HUAWEI/华为 NOVA 10 SE手机旗舰店官方正品4G全网通曲面屏se官网Pro系列
61人累计付款,北京,909,彬彬数码电子科技,HUAWEI/华为畅享60X 智能手机7000mAh长续航5G全网通Matre60S手机
27人累计付款,广东,969,联达科技5G,Huawei/华为Mate 60 Pro新款未拆封官方正品旗舰全网通5G智能手机
62人累计付款,广东,1638,紫金数码店,【百亿补贴】Huawei/华为 畅享 60X  256GB新款手机超长续航补贴
39人累计付款,北京,948,九龙智能电子,Huawei/华为 Mate50 Pro智能手机5G官方全新正品店华为手机p60pro
7人累计付款,广东,4899,耀鹏数码通讯,Huawei/华为 MATE 50
10人累计付款,广东,813,丹丹优品数码,Huawei/华为 畅享 60手机全屏畅享60大电池学生老人官方正品60pro
7人累计付款,广东,1299,久汇数码专营店,顺丰当天发【立减300元】HUAWEI/华为畅享60 Pro手机官方旗舰店5g官网正品新款hi畅享60x手机新品学生老年机
23人累计付款,广东,3058,优选汇数码,Huawei/华为 Mate 40 Pro 5G麒麟9000鸿蒙系统官方正品手机mate40
15人累计付款,浙江,1807,天猫优品官方直营,【天猫优品官方直营】HUAWEI/华为畅享60X手机7000m毫安长续航官方旗舰店正品手机畅享60华为新品60Pro
99人累计付款,山东,3898,桃花数码,Huawei/华为 nova 11 Pro手机官方正品新品Nova10Pro鸿蒙
43人累计付款,广东,2723,恒源数码科技,Huawei/华为 Mate 40 pro 5G麒麟9000鸿蒙系统官方旗舰正品mate40
7人累计付款,广东,908,壹级数码5356,Huawei/华为 Mate 20全面屏4G麒麟980全面屏4G全网通手机
5人累计付款,上海,1419,bihee旗舰店,24期分期/送碎屏宝】Huawei/华为nova 10Z 全新方正品新款学生直降鸿蒙华为手机nova10pro系列
58人累计付款,广东,1985,天天优选自营店,分期免息 华为Mate40 5G手机m40官方旗舰正品店官网P40 50 60pro
54人累计付款,北京,1599,粤机汇数码手机,Huawei/华为 nova 10 SE
49人累计付款,广东,2399,如沐数码668,OPPO Reno10 8+256G
4人累计付款,浙江,1699,OPPO欧欧专卖店,【立减300元】OPPO K10 oppok10手机新款5g智能全网通手机k10pro k9pro k9s k9x k7x oppo手机官方旗舰店官网
12人累计付款,江苏,1799,不二优选手机商城,OPPO A2 Pro 5G手机 智能 oppo手机
47人累计付款,广东,1699,百补优选,【百亿补贴】OPPO K11x oppok11x手机新款oppo手机官方旗舰店官网
69人累计付款,广东,389,优旺嘉诚数码,OPPO A11全面屏高通骁龙665智能a11x超长待机老人学生游戏手机
3人累计付款,北京,1579,中国联通官方旗舰店,【6期免息】OPPO K11 旗舰智能 5G oppok11游戏竞技拍照新款手机大内存官网正品学生老人手机
78人累计付款,广东,438,福瑞祥数码,OPPO A72智能手机5G全网通天玑720大屏幕老人机高续航备用学生机
37人累计付款,上海,2499,欧加手机正品店,【百亿补贴】OPPO K11 12+512GB
4人累计付款,北京,1519,中国联通官方旗舰店,OPPO A2 Pro 全网通5G智能手机 oppoa2pro高像素拍照游戏高性能大内存oppoA1Pro升级新机oppo官网正品
55人累计付款,广东,3299,如沐数码668,OPPO Reno10 Pro
45人累计付款,北京,2999,北京易通电讯商城,OPPO Reno10 全网通5G手机 80W超级闪充 120Hz OLED 超清曲面屏
50人累计付款,广东,1999,潮汕数码手机,OPPO A2 Pro
3人累计付款,广东,1899,OPPO手机智宏正品店,OPPO Reno10 opporeno10 oppo手机旗舰店官网 reno10
45人累计付款,广东,356,久翔手机汇,OPPO A11大屏大电池超长待机全网通 老人学生游戏智能手机 备用机
7人累计付款,江苏,1899,不二优选手机商城,【8GB+256G】OPPO K11 5G  oppo手机正品 oppok11 oppo手机
3人累计付款,广东,2499,中国移动手机官方旗舰店,【现货速发】OPPO Reno10 5G 新款智能拍照快充官方正品电竞游戏影像手机旗舰店 Reno9
1人累计付款,广东,1999,好再莱数码通讯,OPPO A2 Pro 四年耐用电池 67W超级闪充 官方正品智能拍照手机a2
24人累计付款,浙江,3899,喵速达电器官方旗舰店,OPPO Reno10 Pro+  骁龙 8+ 旗舰芯片 4nm 领先工艺 畅快高能 全网通游戏拍照学生oppo手机
20人累计付款,广东,89,silob旗舰店,适用vivo x flip手机壳新款小折叠屏xflip保护套vivoxflip复古老
15人累计付款,广东,979,能良数码官方旗舰店,vivo Y78t 新品5G智能手机 全面屏游戏vivo拍照手机学生 vivoy77t
